1700;Aug;14;P;70.6S;117.5W;;
1700;Sep;13;P;71.9N;87.6W;;
1701;Feb;7;A;25.9N;171.7W;393;09m55s
1701;Aug;4;T;9.4S;33.7E;193;05m06s
1702;Jan;28;A;21.2S;159.6E;132;04m14s
1702;Jul;24;H;38.4N;140.4W;1;00m01s
1703;Jan;17;H2;67.9S;22.2E;61;00m50s
1703;Jul;14;P;67.9N;46.3W;;
1703;Dec;8;P;64.6N;29.5W;;
1704;Jan;7;P;67.4S;35.5W;;
1704;Jun;2;A;49.1S;3.4E;578;04m26s
1704;Nov;27;A;19.7N;104.9E;1;00m01s
1705;May;22;Hm;12.2N;117.0W;51;01m32s
1705;Nov;16;A;20.4S;25.0W;178;05m31s
1706;May;12;T;51.5N;15.2E;242;04m06s
1706;Nov;5;A;57.0S;72.6W;449;07m02s
1707;Apr;2;P;61.1S;11.1W;;
1707;May;2;P;62.2N;21.4E;;
1707;Sep;25;P;61.1N;80.0W;;
1707;Oct;25;P;61.6S;151.3W;;
1708;Mar;22;A;30.4S;98.3E;37;00m46s
1708;Sep;14;T;39.2N;68.3E;126;02m10s
1709;Mar;11;Am;3.4N;5.9W;216;06m29s
1709;Sep;4;T;3.7N;169.7E;229;05m47s
1710;Feb;28;A;42.5N;31.2W;562;08m00s
1710;Aug;24;T;36.5S;105.1W;282;04m00s
1711;Jan;18;P;63.5S;14.4W;;
1711;Feb;17;P;61.6N;85.4W;;
1711;Jul;15;P;63.9N;34.6E;;
1712;Jan;8;T;60.6S;49.2E;114;01m48s
1712;Jul;3;A;42.8N;152.7W;194;05m18s
1712;Dec;28;T;21.5S;159.0E;155;04m15s
1713;Jun;22;A;1.3S;171.2W;170;05m45s
1713;Dec;17;H;23.1N;64.8W;47;00m56s
1714;May;13;Pe;69.4N;106.9E;;
1714;Jun;12;P;66.8S;105.8E;;
1714;Nov;7;P;70.1S;103.9W;;
1714;Dec;7;P;67.4N;159.0E;;
1715;May;3;T;59.4N;17.9E;295;04m14s
1715;Oct;27;A;62.5S;15.5E;494;07m02s
1716;Apr;22;T;11.8N;142.6E;205;05m43s
1716;Oct;15;A;12.5S;23.5E;157;05m10s
1717;Apr;11;H;39.5S;52.1W;39;00m39s
1717;Oct;4;H;34.6N;81.1W;47;00m56s
1718;Mar;2;P;71.8N;3.2E;;
1718;Aug;26;P;71.2S;113.7E;;
1718;Sep;24;P;72.0N;138.3E;;
1719;Feb;19;A;30.5N;68.6E;384;09m01s
1719;Aug;15;T;16.8S;81.1W;181;04m27s
1720;Feb;8;A;17.4S;36.1E;115;03m40s
1720;Aug;4;A;31.1N;114.8E;16;00m27s
1721;Jan;27;T;64.0S;102.4W;79;01m07s
1721;Jul;24;P;68.9N;155.2W;;
1721;Dec;19;P;65.7N;172.0W;;
1722;Jan;17;P;68.5S;179.9W;;
1722;Jun;13;P;65.2S;93.5W;;
1722;Dec;8;A;19.5N;25.4W;21;00m28s
1723;Jun;3;T;9.6N;136.1E;69;02m05s
1723;Nov;27;A;22.0S;145.2W;195;06m12s
